cp,otros
10927,1
14270,1
14657,1
14276,1
14400,1
14476,1
14700,1
14492,1
14475,1
07295,1
10926,1
10643,1
01480,1
01864,1
14712,1
14760,1
14735,1
14905,1
14520,1
14713,1
14714,1
14715,1
14903,1
07187,1
16888,1
16889,1
07210,1
02300,1
16910,1
16860,1
07230,1
07270,1
07279,1
07359,1
08100,1
09140,1
09620,1
13120,1
13180,1
15610,1
15660,1
15680,1
07255,1
02410,1
02520,1
05219,1
05220,1
05230,1
12110,1
13705,1
11600,1
04960,1
16036,1
07360,1
09880,1
01450,1
11220,1
13510,1
14450,1
16035,1
07350,1
09180,1
01770,1
01840,1
07630,1
01849,1
01729,1
01807,1
01870,1
10350,1
01859,1
13550,1
01539,1
09706,1
04320,1
06500,1
01279,1
02080,1
02840,1
02870,1
11650,1
13020,1
07550,1
07620,1
13050,1
11200,1
11260,1
02990,1
06220,1
07790,1
07870,1
02630,1
02660,1
02670,1
02810,1
02950,1
02970,1
02120,1
07700,1
01040,1
01050,1
04200,1
04230,1
09480,1
06300,1
07040,1
07070,1
07080,1
13400,1
12306,1
12914,1
12923,1
09705,1
16880,1
09637,1
09638,1
16810,1
16520,1
16555,1
16819,1
16870,1
16459,1
