id,col,del,region,sub,reg_sub,cp,new_region,num_diligencias_cpxgeo,num_addr_cpxgeo,area_sqkm,otros
1,"CU","COYOACAN",1,1,1,"04510",1,.002830856,.003460208,.10904936,1
4,"LA OTRA BANDA","COYOACAN",1,4,4,"04519",15,.0042462852,.003460208,.0014259628,1
1,"INSURGENTES CUICUILCO","COYOACAN",1,1,1,"04530",1,.033970278,.044982698,.013817535,1
1,"","COYOACAN",1,1,1,"04600",1,.021231422,.048442908,.030436547,1
1,"XOTEPINGO","COYOACAN",1,1,1,"04610",1,.014154281,.017301038,.0024065902,1
2,"SAN PABLO TEPETLAPA","COYOACAN",1,2,2,"04620",15,.014154281,.017301038,.0076930476,1
1,"ADOLFO RUIZ CORTINEZ","COYOACAN",1,1,1,"04630",1,.001415428,.003460208,.0090128751,1
1,"EL RELOJ","COYOACAN",1,1,1,"04640",1,.0084925694,.010380623,.0045876303,1
1,"SANTA URSULA COAPA","COYOACAN",1,1,1,"04650",1,.02264685,.013840831,.018223407,1
1,"PEDREGAL DE LA ZORRA","COYOACAN",1,,1,"04660",1,.0021231419,0,.0015915012,1
1,"PEDREGAL DE CARRASCO","COYOACAN",1,1,1,"04700",1,.02406228,.041522492,.018983236,1
1,"OLIMPICA","COYOACAN",1,1,1,"04710",1,.0070771412,.010380623,.0027385775,1
1,"PEDREGAL DE CARRASCO","COYOACAN",1,,1,"04718",1,0,0,,
1,"BOSQUES DE TETLAMEYA","COYOACAN",1,1,1,"04730",1,.021939136,.031141868,.0065168501,1
4,"EL CARACOL","COYOACAN",1,4,4,"04739",15,.017692853,.027681662,.002601821,1
2,"EX HACIENDA DE COAPA","COYOACAN",1,2,2,"04800",15,.0049539991,.013840831,.012831661,1
2,"PRADOS DE COYOACAN","",1,2,2,"04810",15,.0077848551,.006920415,.0040759472,1
